screen_name,date,text
Amarinder,Tue Jan 31 17:04:12 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Amarinder,Tue Jan 31 16:57:04 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Amarinder,Tue Jan 31 16:56:31 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER so true gurpreet' 
Kejriwal,Tue Jan 31 16:55:29 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER h s phoolka jee zindabaad' 
Kejriwal,Tue Jan 31 16:55:28 +0000 2017,b'AT_USER mr AT_USER backs AT_USER 4 drugs free punjab\nyugpurush irony f punjab \nAT_USER AT_USER AT_USER 
Amarinder,Tue Jan 31 16:53:22 +0000 2017,b'rt AT_USER kaurtoon AT_USER AT_USER voters punjabpoll punjabelections2017 AT_USER AT_USER URL 
Kejriwal,Tue Jan 31 16:53:22 +0000 2017,b'rt AT_USER kaurtoon AT_USER AT_USER voters punjabpoll punjabelections2017 AT_USER AT_USER URL 
Amarinder,Tue Jan 31 16:24:49 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER public rallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Kejriwal,Tue Jan 31 16:20:00 +0000 2017,b'aap hits back at sad for \xe2\x80\x98frivolous\xe2\x80\x99 complaint against AT_USER | AT_USER | AT_USER || AT_USER URL 
Badal,Tue Jan 31 16:20:00 +0000 2017,b'aap hits back at sad for \xe2\x80\x98frivolous\xe2\x80\x99 complaint against AT_USER | AT_USER | AT_USER || AT_USER URL 
Kejriwal,Tue Jan 31 16:13:44 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER is liar' 
Badal,Tue Jan 31 16:13:44 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER is liar' 
Amarinder,Tue Jan 31 15:58:23 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER corruptcongress punjabnotaprincelystate maharaja' 
Kejriwal,Tue Jan 31 15:44:34 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER \xe0\xa4\xab\xe0\xa4\xbc\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x87\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\x97 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb82 female supporters\xf0\x9f\x98\xac madam sry bt u sound a lil despo \xf0\x9f\x99\x88.nowhere else seen ds' 
Amarinder,Tue Jan 31 15:42:53 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Amarinder,Tue Jan 31 15:41:04 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Amarinder,Tue Jan 31 15:33:46 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Badal,Tue Jan 31 15:30:02 +0000 2017,b'bki remark: kirtani jatha spokesman files libel suit against sukhbir badal | AT_USER 
Kejriwal,Tue Jan 31 15:21:53 +0000 2017,b'AT_USER AT_USER AT_USER bull shit' 
Amarinder,Tue Jan 31 15:20:26 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Amarinder,Tue Jan 31 15:19:36 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
